# ----------------------------------------
# All Web Site Data
# Location
# 20181106-20181112
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,"15,768",100.00%,"15,768",99.99%,1.00,<00:00:01,0.00%,0,US$0.00
India,"6,228",100.00%,"6,228",99.97%,1.00,<00:00:01,0.00%,0,US$0.00
Germany,"4,705",100.00%,"4,705",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Brazil,"4,523",100.00%,"4,523",100.00%,1.00,00:00:00,0.00%,0,US$0.00
United Kingdom,"3,509",100.00%,"3,509",99.97%,1.00,<00:00:01,0.00%,0,US$0.00
Turkey,"3,353",100.00%,"3,353",100.00%,1.00,00:00:00,0.00%,0,US$0.00
France,"3,256",100.00%,"3,256",100.00%,1.00,00:00:00,0.00%,0,US$0.00
China,"3,223",100.00%,"3,223",99.97%,1.00,<00:00:01,0.00%,0,US$0.00
Russia,"2,520",100.00%,"2,520",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Japan,"2,303",100.00%,"2,303",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Canada,"2,127",100.00%,"2,127",99.95%,1.00,<00:00:01,0.00%,0,US$0.00
Spain,"1,523",100.00%,"1,523",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Indonesia,"1,405",100.00%,"1,405",99.93%,1.00,<00:00:01,0.00%,0,US$0.00
Taiwan,"1,197",100.00%,"1,197",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Poland,"1,088",100.00%,"1,088",100.00%,1.00,00:00:00,0.00%,0,US$0.00
South Korea,"1,020",100.00%,"1,020",100.00%,1.00,00:00:00,0.00%,0,US$0.00
Italy,994,100.00%,994,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Mexico,990,100.00%,990,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Colombia,838,100.00%,838,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Thailand,827,100.00%,827,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Australia,792,100.00%,792,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Netherlands,705,100.00%,705,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Singapore,661,100.00%,661,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Pakistan,612,100.00%,612,99.84%,1.00,<00:00:01,0.00%,0,US$0.00
Ukraine,589,100.00%,589,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Sweden,554,100.00%,554,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Hong Kong,550,100.00%,550,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Israel,536,100.00%,536,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Switzerland,501,100.00%,501,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Belgium,496,100.00%,496,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Finland,485,100.00%,485,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Ireland,458,100.00%,458,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Chile,392,100.00%,392,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Vietnam,363,100.00%,363,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Austria,352,100.00%,352,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Peru,351,100.00%,351,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Portugal,346,100.00%,346,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Denmark,333,100.00%,333,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Philippines,325,100.00%,325,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Romania,307,100.00%,307,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Argentina,296,100.00%,296,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Saudi Arabia,256,100.00%,256,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Greece,244,100.00%,244,100.00%,1.00,00:00:00,0.00%,0,US$0.00
South Africa,244,100.00%,244,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Malaysia,218,100.00%,218,99.54%,1.00,<00:00:01,0.00%,0,US$0.00
Norway,207,100.00%,207,100.00%,1.00,00:00:00,0.00%,0,US$0.00
